"STATION","NAME","DATE","CDSD","CLDD","DP01","DP05","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1891-10",,"8",,,,,,"0","4","0","3","0","26",,,,"80",,"522",,,"48.5","57.0","39.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1891-11",,"0","8","4","1",,"0","0","16","6","0","0","7",,"0.6","1.78","59",,"851","4.96","0.6","34.6","41.7","27.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1891-12",,"0",,,,,,"0","18","3","0","0","13",,,,"58",,"813",,,"34.5","41.8","27.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-01","0","0",,,,,"4","6","30","22","0","0","-8",,"5.0",,"53",,"1422",,"11.3","19.1","27.5","10.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-02","0","0","8","0","0",,"0","1","26","9","0","0","-10",,"0.3","0.40","46",,"1060","1.90","1.1","27.2","34.0","20.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-03","0","0","5","0","0",,"0","0","27","11","0","0","10",,"0.3","0.35","55",,"1010","1.15","0.6","29.4","37.6","21.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-04","0","0","5","1","0",,,"0","15","2","2","0","21",,,"0.80","72",,"630","1.63",,"44.0","53.8","34.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-05","8","8",,,,,,"0","0","0","5","0","33",,,,"82",,"297",,,"55.3","64.0","46.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-06","139","130",,,,,,"0","0","0","28","1","52",,,,"90",,"17",,,"68.8","77.8","59.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-07","357","218","3","1","1",,,"0","0","0","27","6","41",,,"1.84","94","35","35","2.20",,"70.9","81.7","60.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-08","524","167","4","1","0",,,"0","0","0","30","3","52",,,"0.50","94","48","13","1.25",,"69.9","80.3","59.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1892-09","563","39","4","3","1",,,"0","0","0","16","0","44",,,"2.86","84","173","125","4.72",,"62.0","71.8","52.1"
